name;region;url;address;phone;email
ный участок № 1 г. Майкопа;Республика Адыгея;http://maikop1.adg.msudrf.ru;385009, Республика Адыгея, г. Майкоп, п. Западный, ул. Юбилейная, д. 23 А;(8772) 56-89-82 (8772) 56-89-82 (8772) 56-89-82 ;mirsyd1.ra@yandex.ru
дебный участок № 2 г. Майкопа;Республика Адыгея;http://maikop2.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. Крестьянская, д. 236;(8772) 52-07-48 (8772) 52-07-48 (8772) 52-07-48 ;maikop02.adg@yandex.ru
дебный участок № 3 г. Майкопа;Республика Адыгея;http://maikop3.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. Кирпичная, д. 75;(8772) 54-49-98 (8772) 54-49-98 (8772) 54-49-98 ;mirsyd3.ra@yandex.ru
дебный участок № 4 г. Майкопа;Республика Адыгея;http://maikop4.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. Юннатов, д. 2 Е;(8772) 55-61-69 (8772) 55-61-69 (8772) 55-61-69 ;maikop04.adg@yandex.ru
дебный участок № 5 г. Майкопа;Республика Адыгея;http://maikop5.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. 12 Марта, д. 155;(8772) 57-28-67 (8772) 57-28-67 (8772) 57-28-67 ;mirsyd5.ra@yandex.ru
дебный участок № 6 г. Майкопа;Республика Адыгея;http://maikop6.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. 12 Марта, д. 155;(8772) 57-28-42 (8772) 57-28-42 (8772) 57-28-42 ;mirsyd6.ra@yandex.ru
дебный участок № 7 г. Майкопа;Республика Адыгея;http://maikop7.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. Спортивная, д. 39 А;(8772) 52-05-28 (8772) 52-05-28 (8772) 52-05-28 ;mirsyd7.ra@yandex.ru
дебный участок № 8 г. Майкопа;Республика Адыгея;http://maikop8.adg.msudrf.ru;385000, Республика Адыгея, г. Майкоп, ул. Кирпичная, д. 75;(8772) 54-45-94 (8772) 54-45-94 (8772) 54-45-94 ;mirsyd8.ra@yandex.ru
дебный участок № 1 Майкопского района Республики Адыгея;Республика Адыгея;http://mkpr1.adg.msudrf.ru;385730, Республика Адыгея, Майкопский р-н, п. Тульский, ул. Садовая, д. 51 А;(87777) 5-29-98 (87777) 5-29-98 (87777) 5-29-98 ;mkpr1.adg@mail.ru
дебный участок № 2 Майкопского района Республики Адыгея;Республика Адыгея;http://mkpr2.adg.msudrf.ru;385750, Республика Адыгея, Майкопский р-н, п. Каменномостский, ул. Мира, д. 48;(87777) 5-38-48 (87777) 5-38-48 (87777) 5-38-48 ;mkpr2.adg@mail.ru
удебный участок № 3 Майкопского района Республики Адыгея;Республика Адыгея;http://mkpr3.adg.msudrf.ru;385730, Республика Адыгея, Майкопский р-н, п. Тульский, ул. Садовая, д. 51 А;(87777) 5-29-87 (87777) 5-29-87 (87777) 5-29-87 ;mkpr3.adg@mail.ru
удебный участок № 1 Гиагинского района Республики Адыгея;Республика Адыгея;http://giagr1.adg.msudrf.ru;385600, Республика Адыгея, Гиагинский район, ст. Гиагинская, ул. Красная, д. 266;(87779) 9-71-85 (87779) 9-71-85 (87779) 9-71-85 ;giagr1.adg@mail.ru
удебный участок № 2 Гиагинского района Республики Адыгея;Республика Адыгея;http://giagr2.adg.msudrf.ru;385635, Республика Адыгея, Гиагинский р-н, ст. Дондуковская, ул. Ленина, д. 145;(87779) 9-32-36 (87779) 9-32-36 (87779) 9-32-36 ;giagr2.adg@mail.ru
удебный участок № 1 Кошехабльского района Республики Адыгея;Республика Адыгея;http://koshr1.adg.msudrf.ru;385400, Республика Адыгея, Кошехабльский р-н, а. Кошехабль, ул. Ленина, д. 12;(87770) 9-17-93 (87770) 9-17-93 (87770) 9-17-93 ;koshr1.adg@mail.ru
удебный участок № 2 Кошехабльского района Республики Адыгея;Республика Адыгея;http://koshr2.adg.msudrf.ru;385436, Республика Адыгея, Кошехабльский р-н, с. Вольное, ул. Чапаева, д. 44;(87770) 9-46-35 (87778) 9-46-35 (87770) 9-46-35 ;koshr2.adg@mail.ru
удебный участок № 1 Красногвардейского района Республики Адыгея;Республика Адыгея;http://krasr1.adg.msudrf.ru;385300, Республика Адыгея, Красногвардейский р-н, с. Красногвардейское, ул. 50 лет Октября, д. 29;(87778) 5-33-80 (87778) 5-33-80 (87778) 5-33-80 ;krasr1.adg@mail.ru
удебный участок № 2 Красногвардейского района Республики Адыгея;Республика Адыгея;http://krasr2.adg.msudrf.ru;385331, Республика Адыгея, Красногвардейский р-н, с. Красногвардейское, ул. 50 лет Октября, д. 29;(87778) 5-18-80 (87778) 5-18-80 (87778) 5-18-80 ;krasr2.adg@mail.ru
удебный участок № 1 Тахтамукайского района Республики Адыгея;Республика Адыгея;http://tahr1.adg.msudrf.ru;385100, Республика Адыгея, Тахтамукайский р-н, а. Тахтамукай, ул. Хакурате, д. 53;(87771) 9-62-95 (87771) 9-62-95 (87771) 9-62-95 ;tahr1.adg@mail.ru
удебный участок № 2 Тахтамукайского района Республики Адыгея;Республика Адыгея;http://tahr2.adg.msudrf.ru;385140, Республика Адыгея, Тахтамукайский р-н, п. Яблоновский, ул. Ленина, д. 39 А/1;(87771) 9-80-60 (87771) 9-80-60 (87771) 9-80-60 ;tah2.adg@mail.ru
удебный участок № 3 Тахтамукайского района Республики Адыгея;Республика Адыгея;http://tahr3.adg.msudrf.ru;385132, Республика Адыгея, Тахтамукайский р-н, п. Энем, ул. Октябрьская, д. 5/1;(87771) 4-46-86 (87771) 4-46-86 (87771) 4-46-86 ;tahr3.adg@mail.ru
удебный участок Шовгеновского района Республики Адыгея;Республика Адыгея;http://shovr.adg.msudrf.ru;385440, Республика Адыгея, Шовгеновский р-н, а. Хакуринохабль, ул. Шовгенова, д. 5;"(87773) 9-29-49; (факс) 9-21-95 (87773) 9-29-49; (факс) 9-21-95 (87773) 9-29-49; (факс) 9-21-95 ";shovr.adg@mail.ru
удебный участок № 1 г. Адыгейска;Республика Адыгея;http://adg1.adg.msudrf.ru;385200, Республика Адыгея, г. Адыгейск, ул. Ленина, д. 17;(87772) 9-18-69 (87772) 9-18-69 (87772) 9-18-69 ;adyg1.adg@mail.ru
удебный участок № 2 Теучежского района Республики Адыгея;Республика Адыгея;http://teur2.adg.msudrf.ru;385230, Республика Адыгея, Теучежский р-н, а. Понежукай, ул. Ленина, д. 71;(87772) 9-75-99 (87772) 9-75-99 (87772) 9-75-99 ;teur2.adg@mail.ru
удебный участок № 4 Тахтамукайского района Республики Адыгея;Республика Адыгея;http://tahr4.adg.msudrf.ru/;385140, Республика Адыгея, Тахтамукайский р-н, пгт. Яблоновский, ул. Лаухина 11;(87771) 9-76-72 (87771) 9-76-72 (87771) 9-76-73 ;tahr4.adg@mail.ru
удебный участок № 1 г. Горно-Алтайска;Республика Алтай;http://galtms1.ralt.msudrf.ru;649000, Республика Алтай, г. Горно-Алтайск, ул. Э-Палкина, д. 3;8 (388 22) 2-11-80 ;sud-uchastok1@mail.ru
удебный участок № 2 г. Горно-Алтайска;Республика Алтай;http://galtms2.ralt.msudrf.ru;649000, Республика Алтай, г. Горно-Алтайск, ул. Э-Палкина, д. 3;388 22-2-15-26 ;galtms2@ yandex.ru
удебный участок № 3 г. Горно-Алтайска;Республика Алтай;http://galtms3.ralt.msudrf.ru;649000, Республика Алтай, г. Горно-Алтайск, ул. Э-Палкина, д. 3;8 (388 22) 2 47 62 8 (388 22) 2-15-02 ;gorod3-3@mail.ru
удебный участок № 1 Майминского района;Республика Алтай;http://maimms1.ralt.msudrf.ru;649000, Республика Алтай, Майминский район, с. Майма, ул. Катунская, д. 2;8(388 44) 2-14-28 mmirsud1@mail.ru ;mmirsud1@mail.ru
удебный участок № 2 Майминского района;Республика Алтай;http://maimms2.ralt.msudrf.ru;649100, Республика Алтай, Майминский район, с. Майма, ул. Катунская, д. 2;8 (388-44) 21-7-51 mmirsud2@mail.ru ;mmirsud2@mail.ru
удебный участок Турочакского района;Республика Алтай;http://turms.ralt.msudrf.ru;649140, Республика Алтай, с. Турочак, ул. Тельмана, д. 42;8 (38843) 22-0-84 mirsudtur@mail.ru ;mirsudtur@mail.ru
удебный участок Онгудайского района;Республика Алтай;http://ongms.ralt.msudrf.ru;649000, Республика Алтай, с. Онгудай, ул. Советская, д. 84;8 (388 45 ) 21 1 05 8 (388 45 ) 21 1 05 ;mirowoisud@yandex.ru
удебный участок Шебалинского района;Республика Алтай;http://shebms.ralt.msudrf.ru;649000, Республика Алтай, с. Шебалино, пер. Социалистический, д. 2А;8(38849)22-7-48 sudebnyi_uchastok_08@mail.ru ;sudebnyi_uchastok_08@mail.ru
удебный участок Усть-Канского района;Республика Алтай;http://ukansms.ralt.msudrf.ru/;649450, Республика Алтай, с. Усть-Кан, ул. Первомайская, д. 4;ustkansms@mail.ru (388-47)22-4-92 ;ustkansms@mail.ru
удебный участок Кош-Агачского района;Республика Алтай;http://kagachms.ralt.msudrf.ru/;649780, Республика Алтай, с. Кош-Агач, ул. Советская, д. 60 А;8 (38842) 22-2-16 8 (38842) 22-2-35 ;mirsudk-a@mail.ru
удебный участок  Усть-Коксинского района;Республика Алтай;http://ukoksms.ralt.msudrf.ru/;Республика Алтай, Усть-Коксинский район, с. Усть-Кокса, ул. Набережная, д. 57;83884822559 ;ustkoksms@mail.ru
удебный участок Чойского района Республики Алтай;Республика Алтай;http://choms.ralt.msudrf.ru;649180, Республика Алтай, с. Чоя, ул. Калинина, д. 14а;838840 22-1-18 ;mirsudchoya@mail.ru
удебный участок Улаганского судебного района Республики Алтай;Республика Алтай;http://ulagan.ralt.msudrf.ru;649180, Республика Алтай, с. Чоя, ул. Калинина, д. 14а;;Не указан
удебный участок Чемальского судебного района Республики Алтай;Республика Алтай;http://chemal.ralt.msudrf.ru;649240, Республика Алтай, Чемальский район, с. Чемал, ул. Пчелкина, д. 85;8(38841) 2-30-26 ;Не указан
удебный участок № 1 по Демскому району г. Уфы;Республика Башкортостан;http://1.bkr.msudrf.ru;450024, Республика Башкортостан, г. Уфа, ул. Таллинская, д. 23;281-22-65 281-22-65 281-22-65 281-22-65 281-22-01 ;msrb001@yandex.ru
удебный участок № 2 по Демскому району г. Уфы;Республика Башкортостан;http://2.bkr.msudrf.ru;450014, Республика Башкортостан, г. Уфа, ул. Левитана, д. 14/4;8 (3472) 818891 8 (3472) 81-88-91 8 (3472) 819313 8 (3472) 819313 8 (3472) 812201 ;msrb002@yandex.ru
удебный участок № 3 по Демскому району г. Уфы;Республика Башкортостан;http://3.bkr.msudrf.ru;450024, Республика Башкортостан, г. Уфа, ул. Таллинская, д. 23;8 (347) 227-45-40 8 (347) 227-45-40 8 (347) 227-45-40 8 (347) 227-45-40 8 (347) 281-22-01 ;msrb003@yandex.ru
удебный участок № 4 по Демскому району г. Уфы;Республика Башкортостан;http://4.bkr.msudrf.ru;450024, Республика Башкортостан, г. Уфа, ул. Таллинская, д. 23;8 (347) 227-34-67 8 (347) 227-34-67 8 (347) 227-34-67 8 (347) 281-22-01 8 (347) 281-22-01 ;msrb004@yandex.ru
удебный участок № 1 по Калининскому району г. Уфы;Республика Башкортостан;http://5.bkr.msudrf.ru;450068, Республика Башкортостан, г. Уфа, ул. Вологодская, д. 20/1;8(347)2835997 8(347)2835997 8 (347)283-59-97 8(347)2835997 8(347)2650606 ;msrb005@yandex.ru
удебный участок № 2 по Калининскому району г. Уфы;Республика Башкортостан;http://6.bkr.msudrf.ru;450068, Республика Башкортостан, г. Уфа, ул. Вологодская, д. 20/1;8 (347) 283 - 85 - 72 8 (347) 283 - 85 - 72 8 (347) 283 - 85 - 72 8 (347) 283 - 85 - 72 ;msrb006@yandex.ru
удебный участок № 3 по Калининскому району г. Уфы;Республика Башкортостан;http://7.bkr.msudrf.ru;450068, Республика Башкортостан, г. Уфа, ул. Вологодская, д. 20/1;8 (347) 265-67-85 (347)265 67 85 8 (347) 265-06-06 ;msrb007@yandex.ru
удебный участок № 4 по Калининскому району г. Уфы;Республика Башкортостан;http://8.bkr.msudrf.ru;450068, Республика Башкортостан, г. Уфа, мкр-н, Шакша, ул. Сельская, д. 8/2;8 (347)267-11-00 ;msrb4-008@yandex.ru
удебный участок № 5 по Калининскому району г. Уфы;Республика Башкортостан;http://9.bkr.msudrf.ru;450068, Республика Башкортостан, г. Уфа, ул. Вологодская, д. 20/1;8(347) 265-02-20 8(347) 265-02-20 8(347) 265-02-20 8 (347) 265-02-20 8(347) 265-06-06 ;msrb009@yandex.ru
